uuid,title,slide_url,paper_url
bfd589c5-7eb0-46cd-89cd-f0b02a663a82,Goal-Aware Cross-Entropy for Multi-Target Reinforcement Learning,nips.cc/media/neurips-2021/Slides/27451.pdf,openreview.net/pdf?id=bsGr_8zmRos
baaf6c6f-5980-4353-806f-c714489d1df1,Representer Point Selection via Local Jacobian Expansion for Post-hoc Classifier Explanation of Deep Neural Networks and Ensemble Models,nips.cc/media/neurips-2021/Slides/27007.pdf,openreview.net/pdf?id=Wl32WBZnSP4
fac4595c-ca81-491f-a0ac-53a2243e0c84,Excess Capacity and Backdoor Poisoning,nips.cc/media/neurips-2021/Slides/27331.pdf,openreview.net/pdf?id=8kk8a_zvWua
13ea222f-a47a-448e-8ede-3b6758064b50,Regularized Frank-Wolfe for Dense CRFs: Generalizing Mean Field and Beyond,nips.cc/media/neurips-2021/Slides/26419.pdf,openreview.net/pdf?id=lI2To0NGe3Q
0d3869cc-c987-49f8-8721-58677faa18d1,Integrating Expert ODEs into Neural ODEs: Pharmacology and Disease Progression,nips.cc/media/neurips-2021/Slides/26125.pdf,openreview.net/pdf?id=dDcs_iSZze5
ab61909d-0641-4539-8510-a7a512cff93b,SAPE: Spatially-Adaptive Progressive Encoding for Neural Optimization,nips.cc/media/neurips-2021/Slides/26161.pdf,openreview.net/pdf?id=0wqGMmfqBw
059e820d-39cb-4e86-9e8d-7b41767090ec,BCORLE($\lambda$): An Offline Reinforcement Learning and Evaluation Framework for Coupons Allocation in E-commerce Market,nips.cc/media/neurips-2021/Slides/26101.pdf,openreview.net/pdf?id=9dYr4pFCLIW
c547f809-47f7-4944-ad2f-0374f708f422,Robust Inverse Reinforcement Learning under Transition Dynamics Mismatch,nips.cc/media/neurips-2021/Slides/27427.pdf,openreview.net/pdf?id=t8HduwpoQQv
8c746497-af72-407f-a01a-9cbc562dbf87,Invertible Tabular GANs: Killing Two Birds with One Stone for Tabular Data Synthesis,nips.cc/media/neurips-2021/Slides/27157.pdf,openreview.net/pdf?id=tvDBe6K8L5o
40166036-7cdd-4e12-8984-97ef8c56de6a,Video Instance Segmentation using Inter-Frame Communication Transformers,nips.cc/media/neurips-2021/Slides/27805.pdf,openreview.net/pdf?id=pvjfA4wogD6
68ef1424-bdb6-444b-9723-1ac9751690ac,Uncertainty Quantification and Deep Ensembles,nips.cc/media/neurips-2021/Slides/27586.pdf,openreview.net/pdf?id=wg_kD_nyAF
543c777a-48b9-4d45-8e84-e150fd7aa917,A Framework to Learn with Interpretation,nips.cc/media/neurips-2021/Slides/30495.pdf,proceedings.neurips.cc/paper/2021/file/cbb6a3b884f4f88b3a8e3d44c636cbd8-Paper.pdf
406c60a6-1f3e-47af-81f0-0d6ad623c763,Generalization Error Rates in Kernel Regression: The Crossover from the Noiseless to Noisy Regime,nips.cc/media/neurips-2021/Slides/27554_GDlkPlf.pdf,openreview.net/pdf?id=Da_EHrAcfwd
